scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,326,ECFP_1146,ECFP_1146,ECFP_1146
final,327,ECFP_1147,ECFP_1147,ECFP_1147
final,328,ECFP_1148,ECFP_1148,ECFP_1148
final,329,ECFP_1149,ECFP_1149,ECFP_1149
final,330,ECFP_115,ECFP_115,ECFP_115
final,331,ECFP_1150,ECFP_1150,ECFP_1150
final,332,ECFP_1151,ECFP_1151,ECFP_1151
final,333,ECFP_1152,ECFP_1152,ECFP_1152
final,334,ECFP_1153,ECFP_1153,ECFP_1153
final,335,ECFP_1154,ECFP_1154,ECFP_1154
final,336,ECFP_1155,ECFP_1155,ECFP_1155
final,337,ECFP_1156,ECFP_1156,ECFP_1156
final,338,ECFP_1157,ECFP_1157,ECFP_1157
final,339,ECFP_1158,ECFP_1158,ECFP_1158
final,340,ECFP_1159,ECFP_1159,ECFP_1159
final,341,ECFP_116,ECFP_116,ECFP_116
final,342,ECFP_1160,ECFP_1160,ECFP_1160
final,343,ECFP_1161,ECFP_1161,ECFP_1161
final,344,ECFP_1162,ECFP_1162,ECFP_1162
final,345,ECFP_881,ECFP_881,ECFP_881
final,346,ECFP_1164,ECFP_1164,ECFP_1164
final,347,ECFP_1165,ECFP_1165,ECFP_1165
final,348,ECFP_1166,ECFP_1166,ECFP_1166
final,349,ECFP_1167,ECFP_1167,ECFP_1167
final,350,ECFP_1168,ECFP_1168,ECFP_1168
final,351,ECFP_1169,ECFP_1169,ECFP_1169
final,352,ECFP_117,ECFP_117,ECFP_117
final,353,ECFP_1170,ECFP_1170,ECFP_1170
final,354,NsNH2,NsNH2,NsNH2
final,355,ECFP_1172,ECFP_1172,ECFP_1172
final,356,ECFP_1173,ECFP_1173,ECFP_1173
final,357,ECFP_1174,ECFP_1174,ECFP_1174
final,358,ECFP_1175,ECFP_1175,ECFP_1175
final,359,ECFP_1176,ECFP_1176,ECFP_1176
final,360,ECFP_1177,ECFP_1177,ECFP_1177
final,361,ECFP_1178,ECFP_1178,ECFP_1178
final,362,ECFP_1179,ECFP_1179,ECFP_1179
final,363,ECFP_118,ECFP_118,ECFP_118
final,364,ECFP_1180,ECFP_1180,ECFP_1180
final,365,ECFP_1181,ECFP_1181,ECFP_1181
final,366,ECFP_1182,ECFP_1182,ECFP_1182
final,367,ECFP_1183,ECFP_1183,ECFP_1183
final,368,ECFP_1184,ECFP_1184,ECFP_1184
final,369,ECFP_1185,ECFP_1185,ECFP_1185
final,370,ECFP_1186,ECFP_1186,ECFP_1186
final,371,ECFP_1187,ECFP_1187,ECFP_1187
final,372,ECFP_1188,ECFP_1188,ECFP_1188
final,373,ECFP_1189,ECFP_1189,ECFP_1189
final,374,ECFP_119,ECFP_119,ECFP_119
final,375,ECFP_1190,ECFP_1190,ECFP_1190
final,376,ECFP_1191,ECFP_1191,ECFP_1191
final,377,ECFP_1192,ECFP_1192,ECFP_1192
final,378,ECFP_1193,ECFP_1193,ECFP_1193
final,379,ECFP_1194,ECFP_1194,ECFP_1194
final,380,ECFP_1195,ECFP_1195,ECFP_1195
final,381,ECFP_1196,ECFP_1196,ECFP_1196
final,382,ECFP_1197,ECFP_1197,ECFP_1197
final,383,ECFP_1198,ECFP_1198,ECFP_1198
final,384,ECFP_1199,ECFP_1199,ECFP_1199
final,385,ECFP_12,ECFP_12,ECFP_12
final,386,ECFP_120,ECFP_120,ECFP_120
